Player,Team,Position,Value,Teams,Scoring
Joe Mixon,HOU,RB,16,10,Half-PPR
D'Andre Swift,CHI,RB,16,10,Half-PPR
Garrett Wilson,NYJ,WR,16,10,Half-PPR
Sam LaPorta,DET,TE,16,10,Half-PPR
David Montgomery,DET,RB,15,10,Half-PPR
DJ Moore,CHI,WR,15,10,Half-PPR
Travis Kelce,KC,TE,15,10,Half-PPR
Zay Flowers,BAL,WR,14,10,Half-PPR
Courtland Sutton,DEN,WR,14,10,Half-PPR
Mark Andrews,BAL,TE,14,10,Half-PPR
Tony Pollard,TEN,RB,13,10,Half-PPR
Xavier Worthy,KC,WR,13,10,Half-PPR
T.J. Hockenson,MIN,TE,13,10,Half-PPR
Patrick Mahomes II,KC,QB,12,10,Half-PPR
TreVeyon Henderson,NE,RB,12,10,Half-PPR
DeVonta Smith,PHI,WR,12,10,Half-PPR
Calvin Ridley,TEN,WR,12,10,Half-PPR
Baker Mayfield,TB,QB,11,10,Half-PPR
Kaleb Johnson,PIT,RB,11,10,Half-PPR
Isiah Pacheco,KC,RB,11,10,Half-PPR
David Njoku,CLE,TE,11,10,Half-PPR
Brian Robinson Jr.,WAS,RB,10,10,Half-PPR
